source,cell,rung,model,roc_auc,ci_low,ci_high,ece,brier,n_learners
ednet_kt1,L1|xgboost,L1,xgboost,0.64062,0.6162,0.65917,0.00866,0.21707,206
ednet_kt1,L3|catboost,L3,catboost,0.64349,0.61561,0.66145,0.00916,0.21698,206
ednet_kt1,L3|lightgbm,L3,lightgbm,0.64205,0.61362,0.6608,0.00861,0.21711,206
ednet_kt1,L3|logistic_elasticnet,L3,logistic_elasticnet,0.62278,0.59548,0.63945,0.01234,0.22096,206
ednet_kt1,L3|mlp,L3,mlp,0.63293,0.60537,0.65079,0.01199,0.21933,206
ednet_kt1,L3|random_forest,L3,random_forest,0.64185,0.61235,0.66061,0.0122,0.21736,206
ednet_kt1,L3|xgboost,L3,xgboost,0.64019,0.61208,0.66051,0.00563,0.21714,206
sim-V0,L0|catboost,L0,catboost,0.62182,0.59999,0.64317,0.0045,0.20931,200
sim-V0,L0|lightgbm,L0,lightgbm,0.61901,0.59682,0.64068,0.00621,0.20969,200
sim-V0,L0|logistic_elasticnet,L0,logistic_elasticnet,0.62383,0.60263,0.64349,0.01284,0.20991,200
sim-V0,L0|mlp,L0,mlp,0.62273,0.60162,0.64267,0.01146,0.20968,200
sim-V0,L0|random_forest,L0,random_forest,0.61903,0.59656,0.64069,0.00508,0.20974,200
sim-V0,L0|xgboost,L0,xgboost,0.6134,0.59187,0.63715,0.0136,0.21059,200
sim-V0,L1|catboost,L1,catboost,0.62285,0.60078,0.644,0.00391,0.20919,200
sim-V0,L1|lightgbm,L1,lightgbm,0.6225,0.60056,0.64446,0.00649,0.20918,200
sim-V0,L1|logistic_elasticnet,L1,logistic_elasticnet,0.62452,0.60399,0.64421,0.01018,0.20984,200
sim-V0,L1|mlp,L1,mlp,0.62244,0.60125,0.64369,0.00951,0.20948,200
sim-V0,L1|random_forest,L1,random_forest,0.62328,0.60112,0.64494,0.00546,0.20906,200
sim-V0,L1|xgboost,L1,xgboost,0.61634,0.59482,0.63841,0.00962,0.2101,200
sim-V0,L2|catboost,L2,catboost,0.62388,0.60246,0.64441,0.00738,0.209,200
sim-V0,L2|lightgbm,L2,lightgbm,0.62176,0.60012,0.64382,0.0047,0.2093,200
sim-V0,L2|logistic_elasticnet,L2,logistic_elasticnet,0.62442,0.60383,0.64392,0.0095,0.20985,200
sim-V0,L2|mlp,L2,mlp,0.61887,0.5971,0.64034,0.01386,0.21013,200
sim-V0,L2|random_forest,L2,random_forest,0.62262,0.60034,0.64487,0.00815,0.20926,200
sim-V0,L2|xgboost,L2,xgboost,0.61712,0.59529,0.63889,0.0093,0.21005,200
sim-V0,L3|catboost,L3,catboost,0.62357,0.60255,0.64473,0.00608,0.2091,200
sim-V0,L3|lightgbm,L3,lightgbm,0.6216,0.59939,0.64299,0.00475,0.20925,200
sim-V0,L3|logistic_elasticnet,L3,logistic_elasticnet,0.62444,0.60397,0.6438,0.01039,0.20985,200
sim-V0,L3|mlp,L3,mlp,0.62079,0.59904,0.64148,0.00734,0.20974,200
sim-V0,L3|random_forest,L3,random_forest,0.6227,0.60021,0.64462,0.01027,0.20931,200
sim-V0,L3|xgboost,L3,xgboost,0.61757,0.59575,0.63997,0.01107,0.20995,200
sim-V0,L4|catboost,L4,catboost,0.62301,0.60163,0.64417,0.00787,0.20915,200
sim-V0,L4|lightgbm,L4,lightgbm,0.62164,0.59899,0.64264,0.00566,0.2093,200
sim-V0,L4|logistic_elasticnet,L4,logistic_elasticnet,0.62406,0.60321,0.64382,0.01064,0.20991,200
sim-V0,L4|mlp,L4,mlp,0.61542,0.59356,0.63891,0.00753,0.21045,200
sim-V0,L4|random_forest,L4,random_forest,0.62152,0.6003,0.6422,0.01197,0.20973,200
sim-V0,L4|xgboost,L4,xgboost,0.61585,0.59393,0.63882,0.01306,0.21036,200
